Distance (km),altitude(meters)
21.256,87.9
21.297,87.1
21.339,86.5
21.381,86.2
21.423,86.2
21.465,86.8
21.507,87.3
21.548,87.9
21.59,88.2
21.632,87.9
21.674,87.2
21.716,87.2
21.758,87.4
21.798,86.7
21.838,84.9
21.876,83.7
21.914,82.7
21.952,81.1
21.992,78.4
22.031,76.1
22.071,73.6
22.111,73.9
22.15,74
22.19,73.3
22.229,71.9
22.267,69.9
22.306,70
22.345,69
22.385,68.4
22.426,68.4
22.468,67.5
22.509,66.9
22.551,67.2
22.592,67.3
22.633,66.5
22.674,63.4
22.716,59.6
22.758,57.6
22.8,55.7
22.842,54
22.884,53.1
22.923,51.7
22.959,50.2
22.994,49.3
23.026,47.8
23.059,46.7
23.09,46
23.122,45.3
23.156,44.2
23.191,43.2
23.227,41.7
23.264,39.8
23.303,37.8
23.343,37
23.383,36.5
23.424,36.6
23.465,36.9
23.506,36.9
23.547,35.4
23.589,33.4
23.631,32
23.673,31
23.715,30.4
23.757,30.5
23.799,31.7
23.84,32.7
23.881,33.7
23.922,35.5
23.963,36.8
24.004,37
24.044,37.5
24.085,37.9
24.126,37.8
24.166,37.4
24.207,37
24.247,36.4
24.288,36.1
24.329,35.7
24.37,35.3
24.411,35.2
24.452,36
24.492,37
24.533,37.8
24.573,38
24.613,38
24.653,37.6
24.694,37.6
24.734,37.8
24.774,37.9
24.814,37.4
24.854,36.3
24.894,35.4
24.935,34.7
24.976,33
25.017,31.6
25.058,31
25.1,30.5
25.143,30.1
25.185,29.3
25.226,28.9
25.266,29.4
25.308,31.4
25.349,33.8
25.39,36.9
25.43,37.3
25.471,37.5
25.512,37.6
25.553,36.8
25.594,36.8
25.635,37.4
25.676,37.9
25.716,38.4
25.756,37.9
25.797,36.9
25.837,36.2
25.878,36.1
25.919,36.2
25.96,36.2
26.001,36.3
26.042,36.3
26.083,35.2
26.124,34.6
26.165,34.1
26.207,34.5
26.248,34.8
26.289,34.8
26.33,34.8
26.371,34.9
26.412,34.6
26.453,33.9
26.494,32.9
26.535,32.2
26.577,32.4
26.617,32.9
26.658,33.3
26.699,33.2
26.74,32.6
26.781,32
26.822,32.1
26.863,32.6
26.903,33
26.944,33.2
26.985,32.9
27.026,32.6
27.067,32.4
27.108,31.8
27.149,31.1
27.19,30.3
27.231,29.9
27.272,30.2
27.314,31.3
27.355,31.4
27.396,31.4
27.437,31.4
27.478,32.6
27.519,33
27.559,33
27.594,33
27.624,33.3
27.649,33.8
27.67,34.2
27.687,34.6
27.702,34.8
27.72,35.1
27.739,35.3
27.759,35.6
27.78,35.9
27.802,35.4
27.826,34.8
27.851,34.1
27.877,33.5
27.905,32.9
27.934,32.5
27.964,32.2
27.996,32
28.029,31.8
28.062,31.2
28.097,30.5
28.134,29.5
28.17,29.5
28.208,29.6
28.246,29.7
28.285,29.7
28.324,29.5
28.364,29.3
28.405,29.9
28.446,29.2
28.487,27.9
28.529,26.6
28.57,26
28.612,26.3
28.654,26.8
28.695,27.4
28.736,27.8
28.776,28.7
28.816,29.6
28.856,30
28.897,29.1
28.937,27.8
28.978,27.7
29.019,27.5
29.06,27.4
29.102,26.1
29.143,25.5
29.185,24.9
29.227,24.2
29.268,24.3
29.309,24.3
29.351,23.8
29.392,23.4
29.433,23.5
29.475,23.9
29.516,24
29.558,22.9
29.599,21.8
29.641,20.9
29.683,20.4
29.724,19.7
29.765,19.4
29.806,20.2
29.847,20.7
29.887,22.2
29.928,25.5
29.968,30.8
30.008,34.9
30.047,35.4
30.086,34.3
30.125,35
30.165,37.8
30.204,39.5
30.245,37.8
30.285,34.3
30.325,29.3
30.366,23.1
30.407,20.3
30.447,19.3
30.488,18.7
30.528,19.4
30.569,20.2
30.61,20.7
30.651,21.1
30.692,21.6
30.733,22
30.774,22
30.815,22.7
30.856,22.9
30.896,22.5
30.937,22.4
30.978,22.9
31.019,24.1
31.06,25
31.101,24.9
31.142,24.6
31.183,24.4
31.224,24.1
31.265,23.6
31.306,22.8
31.348,22.5
31.389,22.4
31.43,22.5
31.471,23.2
31.513,24.2
31.554,23.3
31.595,20.6
31.637,19.7
31.679,19.7
31.72,19.8
31.762,20
31.803,20.3
31.845,20.1
31.886,19
31.928,18.2
31.969,18
32.011,17.8
32.052,17
32.094,16.8
32.135,16.6
32.177,16.4
32.218,16.6
32.26,16.5
32.299,16.2
32.333,15.8
32.361,15.7
32.384,15.7
32.403,15.5
32.42,15.3
32.436,15.2
32.453,15
32.473,14.9
32.494,14.8
32.516,15
32.54,15.2
32.564,15.6
32.591,15.8
32.618,16.6
32.646,18
32.675,20
32.704,21.8
32.733,23.9
32.763,25.8
32.793,27.8
32.823,29.1
32.854,31
32.886,32.8
32.919,34.1
32.953,34.7
32.988,34.5
33.024,32.9
33.06,30.3
33.095,26.8
33.129,24.2
33.161,22.1
33.192,21.4
33.222,20.8
33.252,20.6
33.282,20.3
33.313,20
33.344,20.3
33.375,21
33.406,21.7
33.44,23.1
33.475,24.5
33.511,25.2
33.548,25.5
33.584,25.1
33.622,24.6
33.66,24.1
33.7,23.9
33.74,23.2
33.78,23
33.82,23.3
33.86,24.2
33.901,24.3
33.941,23.8
33.981,22.3
34.022,21.4
34.063,20.7
34.104,20.1
34.144,20.1
34.185,20.9
34.226,22.1
34.267,23.4
34.308,21.4
34.35,22.3
34.391,23.9
34.432,26.5
34.474,27.8
34.515,26.8
34.556,23.4
34.597,22.4
34.638,22.4
34.678,23
34.719,24.1
34.76,25.1
34.801,25.6
34.842,26.3
34.882,28
34.922,28.2
34.961,29.4
34.999,30.8
35.036,29.5
35.073,27.9
35.108,25.5
35.141,23.7
35.171,22.2
35.201,21.8
35.228,21.9
35.256,23.1
35.284,23.9
35.314,25.2
35.345,25.8
35.378,25
35.411,23.3
35.446,21.6
35.482,19.9
35.519,19.1
35.556,19.7
35.595,22.1
35.634,24
35.673,24.9
35.713,24.6
35.753,23.2
35.794,22.5
35.834,23.1
35.875,25
35.916,23.6
35.956,21.5
35.997,20
36.038,19.9
36.079,20.3
36.121,20.7
36.162,19.6
36.204,21.2
36.245,23.9
36.287,26.4
36.329,26.9
36.37,26.9
36.411,26.2
36.451,24.5
36.492,22.3
36.532,19.1
36.572,15.8
36.612,13
36.652,11.7
36.692,12.3
36.731,14.4
36.77,16.4
36.809,17.4
36.849,17.5
36.888,16.3
36.928,15.4
36.968,15.2
37.009,15.9
37.049,17.6
37.09,18.2
37.131,18.2
37.172,17.4
37.213,16.2
37.254,17
37.294,17.5
37.334,17.3
37.375,14.7
37.416,13.7
37.457,12.7
37.499,11.5
37.54,10
37.582,9.2
37.623,9.3
37.665,10.2
37.706,10.9
37.747,9.8
37.787,9.1
37.826,9.1
37.866,9.6
37.905,9.5
37.944,8.9
37.983,8.4
38.022,8.4
38.062,8.7
38.103,8.8
38.141,8.6
38.177,7.8
38.209,7.1
38.236,6.6
38.259,6.7
38.277,6.9
38.291,7
38.304,7
38.315,7
38.327,7
38.341,7
38.357,7
38.373,6.9
38.392,6.8
38.412,6.8
38.434,6.7
38.456,6.5
38.479,6.1
38.505,6.3
38.532,6.7
38.559,7.2
38.588,7.7
38.617,8
38.647,8.9
38.676,10.6
38.704,12.8
38.731,15.2
38.758,18
38.785,20.9
38.811,23.5
38.838,24.8
38.866,25.1
38.895,25.8
38.924,26.8
38.953,27.3
38.981,27.6
39.009,27.9
39.036,27.8
39.063,27.6
39.091,27.3
39.12,27.3
39.151,28.6
39.182,30.2
39.214,32.4
39.245,37.7
39.276,41.9
39.307,44.5
39.338,50.6
39.369,55.6
39.399,59
39.425,61.1
39.445,63.1
39.459,65.4
39.471,68.1
40.369,70.9
40.399,73.2
39.491,74.5
39.499,74.9
39.509,74.7
39.521,73.8
39.533,73.2
39.548,73.2
39.563,73.6
39.578,74.2
39.595,75.2
39.614,76.3
39.633,77.6
39.654,79.2
39.675,81.3
39.697,83
39.719,85.2
39.741,86.7
39.763,88
39.785,88.5
39.807,89.3
39.83,87
39.854,88.7
39.879,90.8
39.906,91.5
39.933,90.7
39.96,90.2
39.989,90.7
40.019,93.9
40.047,94
40.075,93.1
40.1,92.3
40.119,92.8
40.137,94.5
40.151,97.4
40.166,101.6
40.182,105.3
40.199,107.4
40.217,109.4
40.237,111.6
40.257,113.9
40.279,115.3
40.3,116.9
40.322,118.9
40.345,121.2
40.368,123.5
40.394,125.4
40.419,126.5
40.445,127.2
40.471,127.9
40.497,128.7
40.526,129.5
40.556,130.6
40.587,132
40.618,133.5
40.65,135.5
40.683,138.4
40.714,141.3
40.745,143.4
40.777,145
40.807,147.2
40.837,150.5
40.867,154.5
40.896,157.8
40.926,160.5
40.954,162.4
40.983,163.6
41.01,164.4
41.035,165.9
41.055,168.1
41.072,170.3
41.087,172.7
41.099,174.5
41.111,175.8
41.124,176.6
41.138,177.3
41.153,178.4
41.169,179.6
41.186,181
41.203,182.6
41.221,184.5
41.24,186.5
41.259,188.4
41.279,189.5
41.3,190.7
41.321,191.8
41.343,192.9
41.365,194.2
41.388,195.7
41.411,197.3
41.436,198.4
41.461,199.4
41.487,201
41.512,203.2
41.539,205.6
41.565,208.4
41.592,211.5
41.619,214.3
41.646,216.7
41.673,218.9
41.7,221.1
41.727,223.3
41.755,225.7
41.782,228.1
41.81,230.8
41.839,233.5
41.868,235.9
41.897,238.2
41.926,240.7
41.956,243.2
41.986,245.7
42.016,248.3
42.046,250.9
42.077,252.8
42.107,254.9
42.138,257
42.169,258.6
42.201,260.2
42.234,261.8
42.266,263.3
42.299,265.4
42.332,267.2
42.365,269
42.399,271.4
42.433,274
42.467,277
